Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
CCND1	cyclin D1	595	11:69641314-69651282	1	Yes	11q13	yes		"CLL, B-ALL, breast"			"L, E"	Dom	"oncogene, fusion"	T	"IGH, FSTL3"			"595,BCL1,CCND1,D11S287E,ENSG00000110092,P24385,PRAD1"
KEAP1	kelch like ECH associated protein 1	9817	19:10486652-10500033	1	Yes	19p13.2	yes		"NSCLC, breast carcinoma"			E		TSG	"Mis, N, F"				"9817,ENSG00000079999,KEAP1,Q14145"
NOTCH1	"Notch homolog 1, translocation-associated (Drosophila) (TAN1)"	4851	9:136496071-136545786	1		9q34.3	yes		"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC"			"L, E"	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, O"	"TRB, SEC16A, GABBR2"			"4851,ENSG00000148400,NOTCH1,P46531,TAN1"
GATA3	GATA binding protein 3	2625	10:8055656-8074023	1		10p15	yes		breast			E	Rec	"oncogene, TSG"	"F, N, S"		yes	"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)"	"2625,ENSG00000107485,GATA3,P23771"
SMARCD1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"	6602	12:50085487-50099000	1		12q13-q14	yes		breast			E	Rec	TSG	N				"6602,ENSG00000066117,Q96GM5,SMARCD1"
ESR1	estrogen receptor 1	2099	6:151807913-152098966	1	Yes	6q25.1	yes		breast			E	Dom	"oncogene, TSG, fusion"	Mis				"2099,ENSG00000091831,ESR,ESR1,P03372"
MAP3K13	mitogen-activated protein kinase kinase kinase 13	9175	3:185428582-185482456	1		3q27	yes		breast			E	Rec	"oncogene, TSG"	F				"9175,ENSG00000073803,MAP3K13,O43283"
NCOR1	nuclear receptor corepressor 1	9611	17:16032296-16194569	1		17p11.2	yes		breast			E	Rec	TSG	"Mis, F, N, O"		yes	Ulnar-mammary syndrome	"9611,ENSG00000141027,NCOR1,O75376"
BARD1	BRCA1 associated RING domain 1	580	2:214728676-214809569	1		2q35	yes	yes	breast cancer	"ovarian cancer, breast cancer, endometrioid cancer"		E		TSG	Mis				"580,BARD1,ENSG00000138376,Q99728"
TP53	tumor protein p53	7157	17:7669609-7676594	1	Yes	17p13	yes	yes	"breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types"	"breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types"	Li-Fraumeni syndrome	"L, E, M, O"	Rec	"oncogene, TSG, fusion"	"Mis, N, F, T"	NTRK1			"7157,ENSG00000141510,P04637,TP53"
